Time,Learning rate,Train loss,Validation loss,MAE_free_energy
231.15145635604858,0.0001,6514391.122153847,4386026.692615384,1644.7620961538462
462.20293641090393,0.0001,3497368.243846154,2403748.156307692,1198.6452908653846
693.7686779499054,0.0001,1114226.3800384616,539438.063923077,514.5309158653846
925.1559326648712,0.0001,513225.4825,453197.54638461536,465.34907632211537
1157.1731324195862,0.0001,438841.2806923077,386941.11478846153,427.2239543269231
1388.7395722866058,0.0001,375739.96671153844,328935.4521442308,396.70860576923076
1619.7910375595093,0.0001,318492.04463461536,275953.8655192308,366.09195673076925
1850.6988277435303,0.0001,264762.1826346154,225988.32022115384,339.1083957331731
2083.0471453666687,0.0001,212401.84109615383,178197.7081201923,310.08225
2314.6700196266174,0.0001,162472.87395192307,135428.09286538462,280.08446454326923
2545.983824491501,0.0001,120150.648,101520.65962980769,251.75678936298078
2777.684953927994,0.0001,93432.28001923076,83484.04055288462,230.41538221153846
3009.4394686222076,0.0001,79545.18483173077,73762.62091826923,217.9816953125
3241.043907403946,0.0001,71577.022875,71225.96920673076,215.338296875
3472.871008872986,0.0001,66213.68612259615,62768.991798076924,203.16939573317308
3704.9534723758698,0.0001,61596.79023798077,59424.98466346154,198.67985426682694
3937.9336354732513,0.0001,57972.16226682693,56182.47475,194.0879813701923
4170.937480211258,0.0001,55004.652216346156,53371.77322355769,190.0310333533654
4404.100907802582,0.0001,52407.54629807692,50847.78466105769,186.40577103365385
4636.715089559555,0.0001,50167.63999278846,49426.78677884615,184.44794140625
4869.041282176971,0.0001,48105.69189182692,47161.480596153844,181.22488822115383
5102.130440235138,0.0001,46573.160923076925,46726.72689423077,180.5995985576923
5335.621963024139,0.0001,45242.02827644231,44354.44481971154,177.45885877403848
5567.978402376175,0.0001,43647.517310096155,44030.158545673075,176.8132091346154
5800.894207954407,0.0001,42272.12878125,43544.72945673077,176.1947481971154
6033.467462062836,0.0001,41194.56604326923,40520.47734615384,172.64370943509616
6266.503861665726,0.0001,40189.2826875,39716.38834615384,171.6912890625
6499.234389781952,0.0001,39496.84614182692,40727.68498798077,172.69209705528846
6732.599615573883,0.0001,38945.185829326925,38169.292211538464,170.0518876201923
6966.3084852695465,0.0001,37740.87615625,37704.2049375,169.4143359375
7199.151708602905,0.0001,37214.68914663461,37316.321927884615,169.12870552884615
7431.494367361069,0.0001,36832.01820673077,36433.72183173077,168.195671875
7664.214260101318,0.0001,36165.460786057694,36076.88637740385,168.02201622596155
7896.559036493301,0.0001,35691.678752403845,35371.88168028846,167.3541658653846
8129.000055074692,0.0001,35163.812413461535,36447.708903846156,168.15781911057692
8361.599823951721,0.0001,34789.3055625,34891.07038701923,166.85430709134616
8595.204511404037,0.0001,34452.15268269231,34272.20934375,166.64488040865385
8827.787511587143,0.0001,34149.20094471154,34320.00455048077,166.67621364182693
9060.950311422348,0.0001,33891.50111298077,33711.58998798077,166.19700420673078
9295.110577821732,0.0001,33532.39808173077,33782.28127644231,166.2382872596154
9528.916058301926,0.0001,33358.09215985577,34644.41023557692,166.71636778846153
9761.609290838242,0.0001,33279.14472355769,33227.49358894231,165.79099459134616
9994.732043743134,0.0001,32946.284044471155,32772.51804086538,165.6300730168269
10227.752267122269,0.0001,32467.348751201924,32716.506771634617,165.77525450721154
10460.341313123703,0.0001,32510.55130769231,33203.63691586538,165.53117638221153
10693.834114074707,0.0001,32426.877905048077,32139.808463942307,165.49126322115384
10926.285031557083,0.0001,31937.86471514423,32235.700629807692,165.24958323317307
11159.431928873062,0.0001,31803.05086298077,31811.41060096154,165.30766646634615
11393.394304990768,0.0001,31799.026266826924,31631.979016826925,165.20486838942307
11625.885970592499,0.0001,31447.768631009614,32454.26722596154,165.59573076923076
11859.480731010437,0.0001,31370.423752403847,32046.175370192308,164.9876905048077
12092.14536356926,0.0001,31222.204388221155,31355.091790865386,164.86036778846153
12325.919538974762,0.0001,31221.430385817308,31394.807063701923,164.9306114783654
12558.568454742432,0.0001,31076.55812139423,31015.811921875,164.77416616586538
12791.92278122902,0.0001,30821.453170673078,31402.28546394231,164.96217007211538
13024.89876961708,0.0001,30957.41113341346,32281.272292067308,165.4186015625
13258.044771671295,0.0001,30757.43997716346,30735.013540865384,164.64579957932693
13491.532975912094,0.0001,30582.53800360577,30549.75406971154,164.76803936298077
13724.003089666367,0.0001,30579.623092548078,30509.662497596153,164.6168203125
13956.830528020859,0.0001,30490.773216346155,30528.080810096155,164.86688341346155
14191.242070436478,0.0001,30259.829481971155,30483.562995192307,164.50811778846153
14424.658976316452,0.0001,30277.036463942306,30375.49812860577,164.72046995192306
14657.933449268341,0.0001,30015.886734375,30194.732540865385,164.68453455528845
14890.165888547897,0.0001,30107.54750360577,30190.338912259616,164.35534164663463
15123.729728221893,0.0001,30035.58704206731,31766.213540865385,164.26064242788462
15356.980605125427,0.0001,30036.699753605768,30639.994743990384,164.76370492788462
15589.31233549118,0.0001,29804.238676682693,29784.462747596153,164.49701171875
15821.777688026428,0.0001,29910.420265625,29837.156752403847,164.24926021634616
16055.697740793228,0.0001,29773.04748076923,30069.010462740385,164.57853695913462
16288.037157773972,0.0001,29682.95985216346,30361.898639423078,164.63912169471155
16520.61632680893,0.0001,29629.626457932693,29872.852609375,164.53155108173078
16754.03763127327,0.0001,29538.895651442308,29447.289091346152,164.2980880408654
16986.56694841385,0.0001,29476.912304086538,29390.95544951923,164.33971634615384
17219.658991098404,0.0001,29411.922217548075,30197.23967548077,164.02747235576922
17453.17172408104,0.0001,29351.1253125,29404.634837740385,164.10294981971154
