Time,Learning rate,Train loss,Validation loss,MAE_free_energy
211.72988867759705,0.0001,5846525.730666666,4829341.102666667,1732.1366171875
423.74660062789917,0.0001,3112082.2413333333,1230897.006,832.7874296875
636.3359639644623,0.0001,939874.8535,756459.438,644.9919036458333
848.085638999939,0.0001,648296.8546666667,545359.61225,550.2831731770833
1060.4828848838806,0.0001,481950.46775,412921.09958333336,487.0686822916667
1272.747983455658,0.0001,373895.9639166667,324502.890125,442.5114674479167
1485.0098407268524,0.0001,295280.67933333333,258936.23325,407.3825013020833
1697.147258758545,0.0001,241976.74925,218701.001875,385.06009505208334
1909.4826040267944,0.0001,209672.811875,198660.93441666666,372.5197708333333
2121.56360578537,0.0001,191361.9775,183329.45925,361.8466341145833
2333.626622200012,0.0001,180235.92575,174717.29275,356.460423828125
2545.9337129592896,0.0001,171533.04083333333,167547.60245833333,352.20145052083336
2757.7934658527374,0.0001,166132.32741666667,161546.55358333333,350.05043359375
2969.8682301044464,0.0001,160978.9685,157446.03966666668,346.96567252604166
3182.7295866012573,0.0001,155589.00725,154660.13983333332,346.8575559895833
3394.840820789337,0.0001,152278.82841666666,149483.827875,343.61542643229166
3607.533596277237,0.0001,148952.25170833332,146758.83725,343.075751953125
3819.703937292099,0.0001,145811.639375,143720.057125,341.4791328125
4032.1064071655273,0.0001,143560.988375,141273.24520833333,340.85615299479167
4244.413952589035,0.0001,140768.90091666667,141202.13808333332,340.96189453125
4456.467364311218,0.0001,139033.17335416668,140124.36266666665,340.58134635416667
4668.59614276886,0.0001,137132.60483333335,135633.7620625,339.25914778645836
4881.147572517395,0.0001,135947.03483333334,135759.16745833334,338.45453059895834
5093.332199573517,0.0001,133834.43095833334,132647.44070833334,338.52108854166664
5305.511257886887,0.0001,134000.47104166666,131655.95422916667,338.30457096354166
5517.736375331879,0.0001,131113.38470833332,130426.69166666667,337.82881770833336
5730.2943387031555,0.0001,130838.732125,129501.6545,337.75092447916666
5942.436617612839,0.0001,129588.62816666666,128677.26114583333,337.8001002604167
6154.7546646595,0.0001,128178.4154375,128064.70172916667,337.18675
6367.586188316345,0.0001,128110.41354166667,126995.228875,337.14003776041665
6579.690908670425,0.0001,127375.28185416666,126719.60770833334,337.4843046875
6791.737587451935,0.0001,126031.07195833333,126289.41616666666,337.287642578125
7003.67452788353,0.0001,125416.03504166666,125113.91610416667,336.9183385416667
7216.411283254623,0.0001,125092.2886875,124926.63679166666,336.7286783854167
7428.506370306015,0.0001,125276.1544375,126733.74672916667,336.4344205729167
7640.68612575531,0.0001,125085.0191875,123599.78883333334,336.888677734375
7853.136013746262,0.0001,123975.65266666666,123457.9268125,336.91391927083333
8065.269267320633,0.0001,123430.85775,123452.429625,336.48346744791667
8277.95988869667,0.0001,122874.59410416667,122585.5055625,336.528328125
8489.976885795593,0.0001,122850.418,122348.26170833333,336.79374153645836
8702.06734085083,0.0001,122166.1476875,121795.11004166666,336.65572526041666
8914.445481061935,0.0001,122237.36935416667,122856.85022916667,336.8859375
9126.369832515717,0.0001,121594.99154166666,121346.9574375,336.35168359375
9339.275021076202,0.0001,121839.92320833333,123362.943875,336.060994140625
9551.621069669724,0.0001,121463.7849375,123199.12004166667,336.90170703125
9763.926608085632,0.0001,121766.620625,122927.94639583334,335.9760286458333
9977.22286939621,0.0001,120683.738125,120501.0698125,336.5965768229167
10189.470700740814,0.0001,120516.95827083333,120377.65504166667,336.52837890625
10401.720833301544,0.0001,120905.98183333334,119965.63504166667,336.306453125
10614.272412061691,0.0001,121010.44841666667,120995.07033333334,336.67584635416665
10825.507095813751,0.0001,120444.81158333333,120538.31675,336.05042317708336
11037.316105127335,0.0001,120438.39177083333,119461.85014583333,336.200203125
11249.167616128922,0.0001,120166.75258333333,124001.04375,336.9804615885417
11461.266839504242,0.0001,120037.19335416667,119936.438375,336.52008333333333
11673.16201877594,0.0001,119614.65710416666,119336.82291666667,336.11481705729165
11885.625450849533,0.0001,121414.6051875,119288.97704166667,336.45420703125
12097.977985143661,0.0001,119303.65683333333,119432.28160416667,336.519802734375
12310.518109560013,0.0001,119087.49208333333,118849.71308333334,336.4337421875
12522.155470371246,0.0001,119163.8195,118627.1109375,336.36625
12734.270514249802,0.0001,118633.44616666666,118708.591875,336.16136458333335
12947.206372261047,0.0001,118805.1424375,118724.98995833333,336.1236634114583
13159.35500907898,0.0001,118548.318875,120245.90810416666,335.84643359375
13371.552246332169,0.0001,119048.07504166667,118264.08329166667,336.173201171875
13584.593046188354,0.0001,118857.0154375,119025.01104166667,335.99512239583333
13797.07859659195,0.0001,118352.53608333334,118030.77716666667,336.1326783854167
14009.258464097977,0.0001,118419.40908333333,119436.82822916667,335.8961829427083
14221.454899549484,0.0001,120407.24241666666,119312.23391666666,335.93824869791666
14433.347366571426,0.0001,118572.73391666666,118798.05114583333,335.93860286458334
14644.868223667145,0.0001,118298.65870833333,118209.36347916667,336.41005989583334
14857.122239351273,0.0001,117924.663375,117682.26114583333,336.22840364583334
15069.27969121933,0.0001,117763.884625,119053.667625,336.570197265625
15281.574508190155,0.0001,118449.06204166666,117898.50077083333,336.37015104166665
15493.798988103867,0.0001,117953.34804166667,117527.1980625,336.12490234375
15705.868008852005,0.0001,117568.0085,118316.6875,336.0165032552083
15917.62270450592,0.0001,117703.25535416667,118097.80147916666,336.38931966145833
16129.768026828766,0.0001,118064.51029166667,118219.156375,336.5519205729167
16341.622153759003,0.0001,117769.8106875,118914.90945833334,336.5263229166667
16553.53511095047,0.0001,117883.37827083333,117416.57858333334,336.1146953125
16765.95144867897,0.0001,117397.81104166666,118673.3088125,336.47505078125
16978.180817842484,0.0001,117844.03145833334,117237.89754166667,336.1304466145833
17190.364500284195,0.0001,118009.34377083334,117204.4644375,336.13459049479167
17402.559887886047,0.0001,117122.90354166667,117112.46070833334,336.22335807291665
17615.060843229294,0.0001,117527.54479166666,117580.2710625,336.422478515625
17827.401193141937,0.0001,117765.718875,117955.24466666667,336.44669270833333
18039.741478681564,0.0001,117720.15845833333,116904.740125,336.2224140625
18251.400300979614,0.0001,117085.75829166667,121077.22614583334,336.7753359375
18463.182700395584,0.0001,117477.22910416666,116831.08841666667,336.183224609375
18675.097990751266,0.0001,117117.07152083333,118447.59360416667,335.92322786458334
18886.935213565826,0.0001,117233.1816875,117274.14545833334,335.99330208333333
19099.603004217148,0.0001,117255.05404166666,116869.974,336.12578841145836
19311.653262376785,0.0001,116850.26575,116709.85979166666,336.292013671875
19523.611555337906,0.0001,117249.94208333333,117663.81414583333,336.36967513020835
19735.340185642242,0.0001,116739.7365,117310.45277083333,335.85488151041665
19947.25224161148,0.0001,117579.96079166667,121806.837,336.78973567708334
20159.677408218384,0.0001,117210.70925,116584.675125,336.26633528645834
20371.803918123245,0.0001,117822.6105,116507.4159375,336.213369140625
20584.150898456573,0.0001,117085.573125,118099.7764375,336.49182682291666
20796.713803052902,0.0001,116756.79541666666,116640.18783333333,336.1104856770833
21009.287535429,0.0001,116573.46279166666,116517.34016666666,336.09576953125
21221.477924346924,0.0001,116600.08795833333,116422.45147916667,336.23902864583334
21434.232788562775,0.0001,116544.94954166666,116451.2578125,336.20622395833334
21646.123785734177,0.0001,116557.47691666667,118141.46279166666,336.48227734375
21857.593537330627,0.0001,116696.34975,116386.55139583333,336.03516666666667
22069.868000984192,0.0001,116640.40179166666,118336.2204375,335.72962239583336
22282.467207193375,0.0001,116850.62333333334,121517.71527083333,335.5143216145833
22494.652955293655,0.0001,116961.34585416666,116601.81622916667,336.336857421875
22706.879229068756,0.0001,116871.10210416667,118347.95320833333,335.65730338541664
22919.473138332367,0.0001,116314.96720833333,116802.1758125,335.9383046875
23131.9269220829,0.0001,116428.99454166666,116114.0820625,336.1244986979167
23344.969269275665,0.0001,117530.19745833334,116093.40879166666,336.15032877604165
23556.95172905922,0.0001,117176.16033333333,117108.481625,335.847486328125
23769.13756418228,0.0001,116460.054375,116237.63914583334,335.97595963541664
23981.205231189728,0.0001,116434.4819375,116583.29583333334,336.3674947916667
24193.217741250992,0.0001,116085.16341666666,116651.60216666666,336.38021614583334
