Time,Learning rate,Train loss,Validation loss,MAE_free_energy
24220.83052420616,0.0001,110213.10607211539,110281.52067307693,319.53150420673074
24447.252109766006,0.0001,110303.43538461538,109258.13794711538,319.63501532451926
24673.66580104828,0.0001,109181.53046153847,109413.1115,319.5716995192308
24900.178271770477,0.0001,109345.3763701923,110822.53452884615,320.01359375
25126.859974861145,0.0001,109587.65571634615,110843.03314423077,320.11286959134617
25353.397592306137,0.0001,109359.40671634616,110802.18646634616,320.1074402043269
25580.45437979698,0.0001,109125.83477403846,115482.75224519231,320.7343443509615
25807.04159784317,0.0001,110160.11039423077,109379.9833701923,319.61508774038464
26033.712475776672,0.0001,109225.85470673077,109001.89355288462,319.52937109375
26260.13613510132,0.0001,109124.1481923077,109067.32270673077,319.45451382211536
26486.511867046356,0.0001,108842.18801442308,109070.37737980769,319.7077602163462
26713.09515786171,0.0001,109055.14549038462,109527.31084134616,319.4198539663462
26939.539335250854,0.0001,109034.12925,108917.18460096154,319.64675150240384
27165.746380329132,0.0001,108702.12761057692,109254.83133653847,319.75743509615387
27391.821781635284,0.0001,109327.05545673077,110966.66888461538,320.0270408653846
27618.014298915863,0.0001,108975.71220673076,112323.68763461539,319.14605979567307
27844.648244857788,0.0001,109616.24076923078,111435.71317788461,320.0409483173077
28071.297728538513,0.0001,109065.28469230769,108961.1342548077,319.5625183293269
28297.841391801834,0.0001,108880.57773557692,113774.66733653846,319.4618819110577
28524.04961514473,0.0001,109702.54061057692,109565.01532692308,319.34976862980767
28750.39314389229,0.0001,108894.98621634615,108666.02584134616,319.49816947115386
28976.833827018738,0.0001,109340.23937019231,112417.62391346153,320.28845282451925
29203.42412161827,0.0001,109469.66514903847,110260.31132211539,319.9365763221154
29429.75541973114,0.0001,109852.95598557692,112003.39961057692,320.2289326923077
29656.241536140442,0.0001,109184.36238942308,109258.60915384615,319.30617037259617
29882.618712425232,0.0001,108547.54515384615,111488.03078365384,319.1430270432692
30109.503467321396,0.0001,109472.59190865385,108861.18336057692,319.3463467548077
30335.63536477089,0.0001,108470.27013942308,109270.65930288461,319.2972986778846
30562.065961122513,0.0001,108750.79899038462,113402.88524038461,320.3373620793269
30788.355751276016,0.0001,108862.74841346154,108865.4873125,319.2969852764423
31015.255655050278,0.0001,109274.69092788461,109820.55994711538,319.1938876201923
